location,stringency_index,population_density,median_age,aged_65_and_older,aged_70_and_older,gdp_per_capita,extreme_poverty,cardiovascular_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
Cyprus,67.83543956043948,127.6569999999994,37.299999999999784,13.416000000000091,8.563000000000065,32415.1319999999,,141.17100000000033,9.239999999999919,,3.400000000000003,80.97999999999963,0.8870000000000003
Czechia,54.9186170212765,137.1759999999996,43.299999999999706,19.02700000000004,11.579999999999949,32605.90599999997,,227.4850000000005,6.820000000000017,,6.630000000000062,79.38000000000027,0.8999999999999974
Democratic Republic of Congo,51.45283707865156,35.879000000000254,17.0,3.0199999999999876,1.7450000000000039,808.1329999999982,77.09999999999954,318.9489999999973,6.099999999999959,4.4719999999999835,,60.68000000000022,0.47999999999999815
Denmark,52.31334170854256,136.51999999999893,42.299999999999685,19.676999999999868,12.324999999999907,46682.51500000026,0.2000000000000015,114.76699999999984,6.4099999999999975,,2.5,80.9000000000006,0.9399999999999981
Djibouti,54.36641833810873,41.28499999999988,25.399999999999828,4.2129999999999805,2.379999999999996,2705.4059999999845,22.5,258.03699999999793,6.04999999999998,,1.3999999999999908,67.11000000000033,0.5240000000000008
Dominica,44.28607954545458,98.56699999999952,,,,9673.367000000057,,227.3759999999994,11.61999999999992,,3.799999999999975,75.0,0.7419999999999964
Dominican Republic,74.69573726541569,222.8730000000012,27.600000000000193,6.981000000000045,4.41900000000003,14600.86099999992,1.6000000000000112,266.6530000000012,8.19999999999996,55.18200000000036,1.6000000000000112,74.08000000000068,0.7559999999999975
Ecuador,69.62313672922215,66.93899999999961,28.1000000000002,7.1039999999999806,4.458000000000028,10581.936000000096,3.5999999999999903,140.44799999999893,5.5499999999999705,80.63499999999937,1.5,77.00999999999941,0.7589999999999953
Egypt,61.041832460732984,97.99900000000035,25.29999999999998,5.159000000000049,2.890999999999994,10550.205999999891,1.300000000000008,525.4320000000006,17.31000000000013,89.82700000000023,1.6000000000000116,71.99000000000056,0.7069999999999952
El Salvador,70.82938028168999,307.81100000000123,27.600000000000186,8.273000000000017,5.416999999999965,7292.458000000056,2.200000000000011,167.29499999999874,8.869999999999928,90.65000000000059,1.3000000000000078,73.31999999999977,0.6730000000000014
Equatorial Guinea,,45.19399999999985,22.399999999999853,2.846000000000003,1.7519999999999964,22604.872999999865,,202.81200000000007,7.780000000000037,24.64000000000009,2.1000000000000134,58.74000000000022,0.5920000000000046
Eritrea,86.910311614731,44.30400000000008,19.300000000000118,3.606999999999988,2.171000000000013,1510.4589999999887,,311.1100000000005,6.0499999999999785,,0.6999999999999955,66.31999999999977,0.45900000000000246
Estonia,39.65694960212196,31.03299999999993,42.700000000000294,19.45200000000016,13.490999999999987,29481.252000000186,0.5,255.56900000000195,4.019999999999985,,4.690000000000039,78.74000000000062,0.8919999999999969
